m_value,M_value,L_value,g_value,d_value,b_value,theta_cmd,theta_0,thetadot_cmd,theta_dot_0,F_value,t0
0,0,0,0,0,0,0,0.803628,0,-0.529099,-4.238061,0.28028
0,0,0,0,0,0,0,0.798306,0,-0.534227,-4.185154,0.29029
0,0,0,0,0,0,0,0.792935,0,-0.538828,-4.133405,0.3003
0,0,0,0,0,0,0,0.78752,0,-0.542929,-4.082773,0.31031
0,0,0,0,0,0,0,0.782067,0,-0.546558,-4.033218,0.32032
0,0,0,0,0,0,0,0.77658,0,-0.549739,-3.984702,0.33033
0,0,0,0,0,0,0,0.771063,0,-0.552495,-3.937187,0.34034
0,0,0,0,0,0,0,0.76552,0,-0.554851,-3.89064,0.35035
0,0,0,0,0,0,0,0.759956,0,-0.556828,-3.845025,0.36036
0,0,0,0,0,0,0,0.754373,0,-0.558445,-3.800312,0.37037
0,0,0,0,0,0,0,0.748777,0,-0.559724,-3.756469,0.38038
0,0,0,0,0,0,0,0.743169,0,-0.560683,-3.713466,0.39039
0,0,0,0,0,0,0,0.737553,0,-0.561339,-3.671276,0.4004
0,0,0,0,0,0,0,0.731932,0,-0.56171,-3.629872,0.41041
0,0,0,0,0,0,0,0.726308,0,-0.561812,-3.589227,0.42042
0,0,0,0,0,0,0,0.720685,0,-0.561659,-3.549316,0.43043
0,0,0,0,0,0,0,0.715065,0,-0.561267,-3.510116,0.44044
0,0,0,0,0,0,0,0.709449,0,-0.560649,-3.471604,0.45045
0,0,0,0,0,0,0,0.703841,0,-0.559818,-3.433758,0.46046
0,0,0,0,0,0,0,0.698242,0,-0.558788,-3.396557,0.47047
0,0,0,0,0,0,0,0.692655,0,-0.55757,-3.359981,0.48048
0,0,0,0,0,0,0,0.68708,0,-0.556174,-3.324011,0.49049
0,0,0,0,0,0,0,0.681521,0,-0.554613,-3.288628,0.500501
0,0,0,0,0,0,0,0.675978,0,-0.552896,-3.253814,0.510511
0,0,0,0,0,0,0,0.670452,0,-0.551032,-3.219553,0.520521
0,0,0,0,0,0,0,0.664946,0,-0.549032,-3.185829,0.530531
0,0,0,0,0,0,0,0.659461,0,-0.546904,-3.152625,0.540541
0,0,0,0,0,0,0,0.653998,0,-0.544655,-3.119927,0.550551
0,0,0,0,0,0,0,0.648557,0,-0.542295,-3.08772,0.560561
0,0,0,0,0,0,0,0.643141,0,-0.53983,-3.055991,0.570571
